model,model_encoded
Safrane,41000.0
Sandero,41900.0
Sandero Stepway,45500.0
Santa Fe,75000.0
Scala,71000.0
Scenic,63000.0
Scirocco,35000.0
Scorpion,25800.0
Seat.Leon,46000.0
Seltos,99500.71428571429
Serie 1,50562.5
Serie 2,101999.4
Serie 3,68906.89655172414
Serie 3 GT,74166.66666666667
Serie 4,86714.0
Serie 5,108785.71428571429
Serie 7,140000.0
Siena,18000.0
Sonet,94000.0
Sonic,43000.0
Sonic 4p,29000.0
Sorento,56441.666666666664
Soul,44000.0
Spark,25575.0
Sportage,86019.60714285714
Stelvio,137000.0
Stonic,72714.28571428571
Sunny,30000.0
Super Duty,52000.0
Superb,117666.66666666667
Swift,39176.0
Symbol,37245.055555555555
Série 1,75650.0
Série 1 3p,36000.0
Série 2 Gran Coupé,126333.33333333333
Série 3,73089.28571428571
Série 3 GT,90000.0
Série 3 cabriolet,85000.0
Série 3 coupé,48450.0
Série 4 Coupé,89750.0
Série 4 Gran Coupé,114363.63636363637
Série 5,134552.63157894736
Série 7,151375.0
T-Cross,80833.33333333333
T-ROC,98069.9
T-roc,83200.0
TT,235000.0
Taigo,94250.0
Tarraco,93450.0
Tiggo,56389.10810810811
Tiggo 2,39900.0
Tiggo 3X,51833.333333333336
Tiggo 4,58450.0
Tiggo 7 Pro,75638.85714285714
Tiggo 8 Pro,87000.0
Tiguan,90907.125
Tipo,43114.28571428572
Tipo 5 portes,54250.0
Tipo Berline,59250.0
Tivoli,55358.625
Toledo,65000.0
Touareg,158666.66666666666
Touran,87500.0
Trafic,61666.666666666664
Transit,24000.0
Transporter,27666.666666666668
Transporter Fourgon 6.1,67000.0
Tucson,100918.91891891892
Twingo,30250.0
UP,38000.0
Utilitaire,93000.0
Vectra,23000.0
Veloster,39000.0
Virtus,74000.0
Vitara,59187.5
Vivaro,42000.0
Wagon R,49500.0
Wingle 5 Double Cabine,47500.0
Wrangler,173625.0
Wrangler Unlimited,268750.0
X-Trail,55666.666666666664
X-Type,45000.0
X1,104140.90909090909
X2,133666.66666666666
X3,134500.0
X4,133391.2
X5,148000.0
X6,124000.0
XCeed,96500.0
XF,114666.66666666667
XJL,119666.66666666667
XL7,31000.0
XUV 300,46500.0
Yaris,44615.38461538462
Yaris Cross Hybride,109000.0
Yaris Verso,34500.0
Z4,98000.0
ZS,60779.52272727273
a3-berline,165990.0
a3-sportback,159990.0
a5-berline,259000.0
a6-sportback-e-tron,269000.0
accord,189990.0
aceman,139900.0
amarok,217480.0
arona,96313.33333333333
ateca,138646.66666666666
austral,134900.0
azera-hybride,249950.0
azkara,113800.0
baleno,71900.0
bayon,90450.0
berlingo-multispace,101900.0
berlingo-van,67490.0
boxer,98900.0
boxer-plateau-double-cabine,109900.0
c3-populaire,34626.0
c31,44900.0
c32,52900.0
c4-x,90233.33333333333
celerio-populaire,28935.0
city,80740.0
civic,145990.0
civic-hybride,171990.0
civic-type-r,274400.0
cla,210900.0
classe-a,181666.66666666666
classe-a-berline,182333.33333333334
classe-c,254750.0
classe-c-hybride,331500.0
classe-e,337400.0
classe-e-plug-in-hybride,357400.0
cle-coupe,340000.0
clio,77283.33333333333
coaster,243000.0
coolray,84800.0
cooper-e,129900.0
corolla,108900.0
corolla-sedan-hybride,124800.0
countryman,184900.0
countryman-electric,189900.0
cr-v,190990.0
cr-v-hybride,204990.0
creta,118950.0
cyberster,179950.0
doblo,68244.5
doblo-combi,104900.0
ducato,85000.0
e-tron-gt,360000.0
e-zs,72000.0
ec40-recharge,204900.0
ehs,119900.0
emgrand,71300.0
eqb,249900.0
eqe-berline,349000.0
ertiga,83650.0
ev6,219980.0
ev6-gt,262980.0
ev9,302480.0
ex30,148233.33333333334
expert,88900.0
expert-combi,152900.0
express-combi,88900.0
express-van,59950.0
fabia,75313.33333333333
fiorino-combi,81000.0
fortuner,274800.0
fronx,84400.0
geometry,109000.0
gla,214900.0
glb,226900.0
glc,340000.0
glory-500,74900.0
glory-580,99900.0
glory-ix5,104900.0
golf-8,134980.0
grand-i10,56450.0
grand-i10-populaire,34805.0
grand-i10-sedan,56950.0
gx3-pro,65550.0
hiace,142000.0
hiace-van,81900.0
hilux,176350.0
hilux-simple-cabine,123800.0
hr-v,119900.0
hs,104950.0
hs-hybridplus,114950.0
i10,33500.0
i20,61965.0
i30,72000.0
i30 Fastback,73000.0
i30-fastback,99950.0
i4,239340.0
i5,327900.0
iX,239000.0
iX3,169000.0
ibiza,80980.0
ioniq-5,189832.5
ioniq-5-n,249950.0
ioniq-6,204950.0
ix1,226900.0
ix2,239900.0
ix35,48166.666666666664
jazz,85990.0
jimny,104900.0
jimny-5p,129900.0
jolion,74625.0
jumper,99900.0
jumpy-combi,152900.0
jumpy-fourgon,88900.0
k01h,36900.0
k01s,33900.0
k02s,41900.0
kamiq,100313.33333333333
kona,143500.0
kona-ev,123900.0
kushaq,85980.0
kwid,30095.0
land-cruiser-76,244000.0
land-cruiser-79,149800.0
landtrek-double-cabine,100945.0
landtrek-simple-cabine,77490.0
leon,120313.33333333333
macan-electric,306500.0
master,87600.0
megane,94950.0
megane-sedan,105800.0
monjaro,235000.0
niro,134980.0
octavia,128313.33333333333
palisade-calligraphy,350050.0
partner,64490.0
picanto,60105.0
picanto-populaire,32190.0
polo,89980.0
prado,342000.0
q2,149990.0
q3,199000.0
q3-sportback,219000.0
q6-e-tron,269000.0
q6-sportback-e-tron,289000.0
rav-4-hybride,168500.0
rifter,105900.0
rx9,164950.0
s5,84950.0
s50,38857.0
scala,99313.33333333333
scudo,86000.0
scudo-combi,162000.0
seltos,120980.0
serie-1-5p,182150.0
serie-2-gran-coupe,194700.0
serie-3,238650.0
serie-3-hybride,303233.3333333333
serie-4-gran-coupe,304900.0
serie-5,347400.0
sonet,95480.0
sorento-hybride,249980.0
sportage,146980.0
sportage-hybride,182480.0
staria,159600.0
staria-9-places,230016.66666666666
starray,129800.0
swift,60775.0
t-cross,90313.33333333333
tiguan,176980.0
tipo-berline,79500.0
traveller,169900.0
tucson,180000.0
tucson-hybride,177475.0
tugella,199800.0
v5,35000.0
venue,90000.0
virtus,77980.0
x1,206150.0
x1-hybride,244566.66666666666
x2,221650.0
xc40,208233.33333333334
xc60,329400.0
yaris-cross,119800.0
yaris-hybride,84900.0
zr-v,145000.0
zs,84450.0
zs-hybride,97950.0
