brand,model,price,kilometrage,body_type,fuel_type,transmission,puissance_fiscale,registration_year,new,fuel_type_simple,year_extracted
Fiat,500,48000.0,91211.0,Citadine,Hybride léger essence,Manuelle,4 cv,3.2022,no,hybride,2022.0
Hyundai,Grand i10,46500.0,14234.0,Citadine,Essence,Manuelle,4 cv,10.2023,no,essence,2023.0
Audi,Q2,110000.0,38412.0,SUV,Essence,Automatique,8 cv,8.2021,no,essence,2021.0
Seat,Arona,78000.0,101610.0,SUV,Essence,Automatique,6 cv,6.2021,no,essence,2021.0
Land Rover,Discovery Sport,125000.0,178542.0,SUV,Diesel,Automatique,8 cv,6.2018,no,diesel,2018.0
Peugeot,3008,73000.0,164852.0,SUV,Diesel,Manuelle,6 cv,11.2020,no,diesel,2020.0
Mitsubishi,L200 Double Cabine,135000.0,23990.0,Pick up,Diesel,Manuelle,8 cv,5.2024,no,diesel,2024.0
GWM,Haval Jolion,78000.0,71231.0,SUV,Essence,Automatique,9 cv,10.2021,no,essence,2021.0
Renault,Express Van,45000.0,54375.0,Utilitaire,Diesel,Manuelle,5 cv,10.2022,no,diesel,2022.0
Renault,Scenic,63000.0,187889.0,SUV,Diesel,Automatique,6 cv,11.2020,no,diesel,2020.0
Seat,Arona,78000.0,95894.0,SUV,Essence,Automatique,6 cv,12.2020,no,essence,2020.0
Fiat,500,41000.0,82000.0,Citadine,Essence,Manuelle,4 cv,4.2016,no,essence,2016.0
KIA,EV6,188000.0,1499.0,SUV,Electrique,Automatique,6 cv,2.2025,no,electrique,2025.0
Hyundai,Palisade,250000.0,35774.0,SUV,Diesel,Automatique,12 cv,12.2021,no,diesel,2021.0
Toyota,Hilux Double Cabine,135000.0,82129.0,Pick up,Diesel,Manuelle,8 cv,6.2020,no,diesel,2020.0
BMW,Série 5,190000.0,72000.0,Berline,Essence,Automatique,10 cv,8.2022,no,essence,2022.0
Audi,Q5,95000.0,69452.0,SUV,Essence,Automatique,13 cv,5.2016,no,essence,2016.0
Chevrolet,Captiva,67000.0,176494.0,SUV,Diesel,Manuelle,9 cv,4.2013,no,diesel,2013.0
Mazda,BT-50,96000.0,53499.0,Pick up,Diesel,Manuelle,9 cv,2.2021,no,diesel,2021.0
Mercedes-Benz,GLA,137800.0,120168.0,SUV,Hybride rechargeable essence,Automatique,8 cv,12.2021,no,hybride,2021.0
Mercedes-Benz,GLA,175000.0,46393.0,SUV,Hybride rechargeable essence,Automatique,6 cv,3.2021,no,hybride,2021.0
Isuzu,D-Max Double Cabine,135000.0,111484.0,Pick up,Diesel,Automatique,6 cv,11.2020,no,diesel,2020.0
Ford,Ecosport,63000.0,95310.0,SUV,Essence,Automatique,7 cv,12.2018,no,essence,2018.0
Audi,A6,64000.0,239998.0,Berline,Diesel,Manuelle,9 cv,7.2012,no,diesel,2012.0
Mercedes-Benz,Classe A,179000.0,17788.0,Compacte,Hybride rechargeable essence,Automatique,8 cv,5.2024,no,hybride,2024.0
GWM,Haval Jolion,93200.0,40800.0,SUV,Essence,Automatique,9 cv,4.2024,no,essence,2024.0
Porsche,Macan,185000.0,56300.0,SUV,Essence,Automatique,15 cv,10.2017,no,essence,2017.0
Toyota,C-HR,110000.0,63952.0,SUV,Hybride essence,Automatique,5 cv,5.2021,no,hybride,2021.0
Mercedes-Benz,CLA,182000.0,24572.0,Berline,Hybride rechargeable essence,Automatique,8 cv,8.2023,no,hybride,2023.0
Mercedes-Benz,CLA,150000.0,51339.0,Berline,Hybride rechargeable essence,Automatique,8 cv,4.2021,no,hybride,2021.0
Volkswagen,Tiguan,155000.0,50471.0,SUV,Essence,Automatique,8 cv,10.2022,no,essence,2022.0
Mercedes-Benz,Classe C,198000.0,42016.0,Berline,Hybride léger essence,Automatique,9 cv,8.2023,no,hybride,2023.0
MG,HS,87000.0,57234.0,SUV,Essence,Automatique,9 cv,6.2022,no,essence,2022.0
Mercedes-Benz,Classe C,195000.0,52099.0,Berline,Hybride léger essence,Automatique,9 cv,11.2023,no,hybride,2023.0
Mercedes-Benz,GLC Coupé,225000.0,69860.0,SUV,Hybride rechargeable essence,Automatique,10 cv,9.2020,no,hybride,2020.0
Peugeot,208,44000.0,36567.0,Citadine,Essence,Manuelle,4 cv,11.2022,no,essence,2022.0
Audi,Q3 Sportback,145000.0,116520.0,SUV,Hybride léger essence,Automatique,8 cv,11.2020,no,hybride,2020.0
Toyota,Land Cruiser,129000.0,216544.0,SUV,Diesel,Automatique,17 cv,10.2007,no,diesel,2007.0
Mercedes-Benz,GLC Coupé,252000.0,38654.0,SUV,Hybride rechargeable essence,Automatique,12 cv,10.2021,no,hybride,2021.0
Mercedes-Benz,EQA,150000.0,18646.0,SUV,Electrique,Automatique,6 cv,9.2021,no,electrique,2021.0
